category,name,sku,price,unit,url,image
Lumber,"Ramset 1-1/4"" Ramset Nails - 100pk",2154821,25.99,/each,https://downtownlumber.com/p/ramset-1-14-ramset-nails-100pk/2154821,https://ik.imagekit.io/toolbx/p_1657820263254_73450437-be8e-48ff-8e39-eacc702f8b68.jpg
Lumber,"Pasload 3-1/4"" Galvanized Strip Nails - 1,500 Pack",800908,129.99,/each,https://downtownlumber.com/p/pasload-3-14-galvanized-strip-nails-1500-pack/800908,https://ik.imagekit.io/toolbx/p_1677992957613_57a5cb88-f268-44db-b525-1d95864007ba_800908.jpg
Lumber,"1x2"" Clear Pine (sold by LF)",12CP,0.99,/each,https://downtownlumber.com/p/1x2-clear-pine-sold-by-lf/12CP,https://ik.imagekit.io/toolbx/p_1657819085402_29183096-8fc0-46ff-9c50-00fda932ff6a.jpg
Lumber,"Poly 12""x300' Roll Super Six 6mil Clear Film",CGSB300,32.99,/each,https://downtownlumber.com/p/poly-12x300-roll-super-six-6mil-clear-film/CGSB300,https://ik.imagekit.io/toolbx/p_1657826465868_e993c2f6-7731-4854-936b-91d5bc1a1196.jpg
Lumber,"1x12"" Pine #1 (sold by LF)",112P,3.29,/foot,https://downtownlumber.com/p/1x12-pine-1-sold-by-lf/112P,https://ik.imagekit.io/toolbx/p_1657820982753_2ecd6443-7c9b-4f01-81fc-41a3860bd0b2.jpg
Lumber,"Brown Deck Screws #8x1-1/2"" - 100 pc",2183325,12.99,/each,https://downtownlumber.com/p/brown-deck-screws-8x1-12-100-pc/2183325,https://ik.imagekit.io/toolbx/src-img/153392415596
Lumber,"Wood Screws Zinc Plated #8x2""- 100 pc",2174505,10.49,/each,https://downtownlumber.com/p/wood-screws-zinc-plated-8x2-100-pc/2174505,https://ik.imagekit.io/toolbx/p_1657819400441_b84fc281-df0f-489c-a05a-510b3563ebcc.jpg
Lumber,"Flatlok Structural Wood Screws 5""- 50 pcs",5FL50,84.99,/each,https://downtownlumber.com/p/flatlok-structural-wood-screws-5-50-pcs/5FL50,https://ik.imagekit.io/toolbx/p_1676783645658_a2783823-a236-423c-8e7f-3ab21af96e6d_5FL50.jpg
Lumber,2x8x14' Premium SPF,2814,26.98,/each,https://downtownlumber.com/p/2x8x14-premium-spf/2814,https://ik.imagekit.io/toolbx/p_1657848610334_1d5aab3b-82c0-43b4-8b0b-7ae09c242064.jpg
Lumber,Post Holder Bolt Down 4 x 4 Black,160,14.99,/each,https://downtownlumber.com/p/post-holder-bolt-down-4-x-4-black/160,https://ik.imagekit.io/toolbx/p_1670562549645_ed4e8088-cbe2-46d1-bfe5-d574d4ca017b_160.jpg
Lumber,2x10x14' Premium SPF,21014,31.99,/each,https://downtownlumber.com/p/2x10x14-premium-spf/21014,https://ik.imagekit.io/toolbx/p_1657814489219_68e4b21f-dbd1-45d1-a8d5-68c6b4a168ac.jpg
Lumber,"2x6"" Grade #1 & 2 Dressed Four Sides Kiln Dried Pine (sold by LF)",26P,2.99,/each,https://downtownlumber.com/p/2x6-grade-1-2-dressed-four-sides-kiln-dried-pine-sold-by-lf/26P,https://ik.imagekit.io/toolbx/p_1657819291049_304dd898-9f63-481c-88ad-d648b719d291.jpg
