vendor,category,name,sku,price,unit,url,image,scrape_date
Clarington Home Hardware,Lumber,PT 4x4x14,2835991,$29.38,/each,https://claringtonhomehardware.com/p/pt-4x4x14/2835991,https://ik.imagekit.io/toolbx/p_1693541190337_b3c0f365-727d-4cf8-ad18-ac9dbdecc9df_2835991.jpg,2026-01-07 10:32:08.441104
Clarington Home Hardware,Lumber,Spruce 2x12x20,2832507,$88.61,/each,https://claringtonhomehardware.com/p/spruce-2x12x20/2832507,https://ik.imagekit.io/toolbx/p_1693541553090_9875da03-6ccc-4842-8e87-bf0d9225f7a4_2832507.jpg,2026-01-07 10:32:08.496850
Clarington Home Hardware,Lumber,Spruce 1x6x8,2833349,$8.39,/each,https://claringtonhomehardware.com/p/spruce-1x6x8/2833349,https://ik.imagekit.io/toolbx/p_1693541491100_b1cd1bce-ffdb-4c49-999b-6e487d80ca9c_2833349.jpg,2026-01-07 10:32:08.554344
Clarington Home Hardware,Lumber,Pine 1x12,2826923,$2.69,/foot,https://claringtonhomehardware.com/p/pine-1x12/2826923,https://ik.imagekit.io/toolbx/p_1693540892043_fb8e550d-4c66-4dda-be46-ccde73fea891_2826923.jpg,2026-01-07 10:32:08.613720
Clarington Home Hardware,Lumber,Spruce 2x12x16,2832503,$64.81,/each,https://claringtonhomehardware.com/p/spruce-2x12x16/2832503,https://ik.imagekit.io/toolbx/p_1693541543646_49439a45-c83a-4cf5-a331-4bb53cbd29b9_2832503.jpg,2026-01-07 10:32:08.671633
Clarington Home Hardware,Lumber,"LVL 9-1/2""x12'",912LVL12,$108.00,/each,https://claringtonhomehardware.com/p/lvl-9-12x12/912LVL12,https://ik.imagekit.io/toolbx/p_1693541402168_e0f54ced-3040-4783-8106-4ccaacc4d481_912LVL12.jpg,2026-01-07 10:32:08.727633
Clarington Home Hardware,Lumber,PT 5-STEP,2837614,$38.95,/each,https://claringtonhomehardware.com/p/pt-5-step/2837614,https://ik.imagekit.io/toolbx/p_1693541707986_03147469-0e06-4be7-aa6b-daf9f203c39b_2837614.jpg,2026-01-07 10:32:08.783633
Clarington Home Hardware,Lumber,PT 6-STEP,2837615,$43.95,/each,https://claringtonhomehardware.com/p/pt-6-step/2837615,https://ik.imagekit.io/toolbx/p_1693541708548_4d4d9ce6-27cd-4067-b7a6-4c3786c544b2_2837615.jpg,2026-01-07 10:32:08.840634
Clarington Home Hardware,Lumber,Spruce 2x6x8,2832441,$7.69,/each,https://claringtonhomehardware.com/p/spruce-2x6x8/2832441,https://ik.imagekit.io/toolbx/p_1693541621882_c95f3542-14df-4400-a028-95b075983d60_2832441.jpg,2026-01-07 10:32:08.897633
Clarington Home Hardware,Lumber,PT 5/4x6x16,2835944,$17.42,/each,https://claringtonhomehardware.com/p/pt-54x6x16/2835944,https://ik.imagekit.io/toolbx/p_1693541237793_44f3e95d-2966-4aee-bb37-c5ee37c4b02f_2835944.jpg,2026-01-07 10:32:08.954633
Clarington Home Hardware,Lumber,PT 1x6x6,2835956,$4.78,/each,https://claringtonhomehardware.com/p/pt-1x6x6/2835956,https://ik.imagekit.io/toolbx/p_1693540994290_8140afbf-b5d1-4412-8e97-b00a7e0f0a20_2835956.jpg,2026-01-07 10:32:09.010633
Clarington Home Hardware,Lumber,Spruce 2x10x18,2832487,$49.95,/each,https://claringtonhomehardware.com/p/spruce-2x10x18/2832487,https://ik.imagekit.io/toolbx/p_1693541510330_049c38d3-e874-43f2-8188-a8a40a6a89c9_2832487.jpg,2026-01-07 10:32:11.446597
Clarington Home Hardware,Lumber,Spruce 1x4x16,2833345,$9.99,/each,https://claringtonhomehardware.com/p/spruce-1x4x16/2833345,https://ik.imagekit.io/toolbx/p_1693541472253_4105ba6e-1c30-458d-b7b1-5dc7cb685b95_2833345.jpg,2026-01-07 10:32:11.505596
Clarington Home Hardware,Lumber,PT 2x10x8,2835978,$24.96,/each,https://claringtonhomehardware.com/p/pt-2x10x8/2835978,https://ik.imagekit.io/toolbx/p_1693541016163_98d808ad-d148-44eb-aeba-27e3040f65c0_2835978.jpg,2026-01-07 10:32:11.563595
Clarington Home Hardware,Lumber,Spruce 2x12x8,2832495,$32.41,/each,https://claringtonhomehardware.com/p/spruce-2x12x8/2832495,https://ik.imagekit.io/toolbx/p_1693541562555_bc2237cf-1cdd-4b71-97fa-71698c0fab37_2832495.jpg,2026-01-07 10:32:11.619595
