category,name,sku,price,unit,url,image
Simpson Strong Ties,"Double LVL Hanger 9-1/2""",HGUS410,21.98,/each,https://slacklumber.ca/p/double-lvl-hanger-9-12/HGUS410,https://ik.imagekit.io/toolbx/1761312299037
Simpson Strong Ties,"Triple LVL Hanger 9-1/2""",HGUS5.50/10,23.85,/each,https://slacklumber.ca/p/triple-lvl-hanger-9-12/HGUS5.50%2F10,https://ik.imagekit.io/toolbx/1761312459932
Simpson Strong Ties,"Quadruple LVL Hanger 9-1/2""",HGUS7.25/10,38.83,/each,https://slacklumber.ca/p/quadruple-lvl-hanger-9-12/HGUS7.25%2F10,https://ik.imagekit.io/toolbx/1761312366810
Simpson Strong Ties,"Double LVL Hanger 11-7/8""",HGUS412,25.23,/each,https://slacklumber.ca/p/double-lvl-hanger-11-78/HGUS412,https://ik.imagekit.io/toolbx/1761312241426
Simpson Strong Ties,"Triple LVL Hanger 11-7/8""",HGUS5.50/12,28.65,/each,https://slacklumber.ca/p/triple-lvl-hanger-11-78/HGUS5.50%2F12,https://ik.imagekit.io/toolbx/1761312382723
Simpson Strong Ties,"Quadruple LVL Hanger 11-7/8""",HGUS7.25/12,42.52,/each,https://slacklumber.ca/p/quadruple-lvl-hanger-11-78/HGUS7.25%2F12,https://ik.imagekit.io/toolbx/1761312315658
Simpson Strong Ties,"Double LVL Hanger 14""-18""",HGUS414,30.95,/each,https://slacklumber.ca/p/double-lvl-hanger-14-18/HGUS414,https://ik.imagekit.io/toolbx/1761312266339
Simpson Strong Ties,"Triple LVL Hanger 14""-18""",HGUS5.50/14,37.74,/each,https://slacklumber.ca/p/triple-lvl-hanger-14-18/HGUS5.50%2F14,https://ik.imagekit.io/toolbx/1761312400414
Simpson Strong Ties,"Quadruple LVL Hanger 14""-18""",HGUS7.25/14,45.71,/each,https://slacklumber.ca/p/quadruple-lvl-hanger-14-18/HGUS7.25%2F14,https://ik.imagekit.io/toolbx/1761312344242
Simpson Strong Ties,Hanger Nails 8Dx1-1/2 (150),N8DHDG-R,5.78,/box,https://slacklumber.ca/p/hanger-nails-8dx1-12-150/N8DHDG-R,https://ik.imagekit.io/toolbx/p_1716359051115_74e08da2-ea89-44d8-a1df-2890181458d1_N8DHDG-R.jpg
Simpson Strong Ties,Hanger Nails 10Dx1-1/2 (120),N10DHDG-R,11.49,/box,https://slacklumber.ca/p/hanger-nails-10dx1-12-120/N10DHDG-R,https://ik.imagekit.io/toolbx/p_1716359028354_a12c6769-cfce-45b5-817a-f372e5e9342a_N10DHDG-R.jpg
Simpson Strong Ties,"Hanger Nails 10Dx3"" (50)",10DHDG,10.99,/each,https://slacklumber.ca/p/hanger-nails-10dx3-50/10DHDG,https://ik.imagekit.io/toolbx/1761318332246
Simpson Strong Ties,Hanger Nails 16Dx3-1/2 (40),16DHDG-R,10.49,/each,https://slacklumber.ca/p/hanger-nails-16dx3-12-40/16DHDG-R,https://ik.imagekit.io/toolbx/1761318288765
Simpson Strong Ties,"SD Structural Screw 1-1/2"" 100pc",SD9112R100,11.49,/each,https://slacklumber.ca/p/sd-structural-screw-1-12-100pc/SD9112R100,https://ik.imagekit.io/toolbx/1761318951528
