category,name,sku,price,unit,url,image
Construction Lumber,"3/4"" Cant Strip R/L",LSPCS34,0.40,/foot,https://peacocklumber.ca/p/34-cant-strip-rl/LSPCS34,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/no_image_found.png
Construction Lumber,2X8-14' PRESSURE TREATED-SECONDS,CULLLMP2814,16.75,/piece,https://peacocklumber.ca/p/2x8-14-pressure-treated-seconds/CULLLMP2814,https://ik.imagekit.io/toolbx/1754678038929
Construction Lumber,2X10X12 PRESSURE TREATED-SECONDS,CULLLMP21012,18.50,/piece,https://peacocklumber.ca/p/2x10x12-pressure-treated-seconds/CULLLMP21012,https://ik.imagekit.io/toolbx/1754669695526
Construction Lumber,2X12X12 PRESSURE TREATED-SECONDS,CULLLMP21212,26.00,/piece,https://peacocklumber.ca/p/2x12x12-pressure-treated-seconds/CULLLMP21212,https://ik.imagekit.io/toolbx/1754670280574
Construction Lumber,2X8-10' PRESSURE TREATED-SECONDS,CULLLMP2810,11.75,/piece,https://peacocklumber.ca/p/2x8-10-pressure-treated-seconds/CULLLMP2810,https://ik.imagekit.io/toolbx/1754677981192
Construction Lumber,5/4X6X12 PRESSURE TREATED-SECONDS,CULLLMP54612,6.50,/piece,https://peacocklumber.ca/p/54x6x12-pressure-treated-seconds/CULLLMP54612,https://ik.imagekit.io/toolbx/1754678171945
Construction Lumber,2X8-12' PRESSURE TREATED-SECONDS,CULLLMP2812,12.35,/piece,https://peacocklumber.ca/p/2x8-12-pressure-treated-seconds/CULLLMP2812,https://ik.imagekit.io/toolbx/1754678008388
Construction Lumber,2X12X16 PRESSURE TREATED-SECONDS,CULLLMP21216,34.95,/piece,https://peacocklumber.ca/p/2x12x16-pressure-treated-seconds/CULLLMP21216,https://ik.imagekit.io/toolbx/1754670304251
Construction Lumber,"2x4x104 5/8"" Spruce D4S (#2 & Better)",LSP2410458,4.45,/piece,https://peacocklumber.ca/p/2x4x104-58-spruce-d4s-2-better/LSP2410458,https://ik.imagekit.io/toolbx/src-img/187837322557
Construction Lumber,2X6X16 T&G PRESSURE TREATED-BROWN,LMP2616TG,34.65,/piece,https://peacocklumber.ca/p/2x6x16-tg-pressure-treated-brown/LMP2616TG,https://ik.imagekit.io/toolbx/p_1721285732180_f9572d1a-f28f-4df4-9320-fe3c2e0a9309_LMP2616TG.jpg
Construction Lumber,2x4x8' Pressure Treated-Grooved,LMP248G,11.95,/piece,https://peacocklumber.ca/p/2x4x8-pressure-treated-grooved/LMP248G,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/2x4MicroProSienna.png
Construction Lumber,6x6 Deck Foot,LMPDF6,11.99,/each,https://peacocklumber.ca/p/6x6-deck-foot/LMPDF6,https://ik.imagekit.io/toolbx/p_1671598913134_591719b6-b2bd-4b77-8ccb-155b04dd8f6b_LMPDF6.jpg
Construction Lumber,"1 1/2"" x 5"" JOINER NAIL PLATE",OFHJNP6,0.55,/each,https://peacocklumber.ca/p/1-12-x-5-joiner-nail-plate/OFHJNP6,https://ik.imagekit.io/toolbx/p_1684210568316_37fbacf2-9b57-4dc8-850c-c09b417feda0_OFHJNP6.jpg
Construction Lumber,"LP Elements 7/16""X5.3""-72"" Performance PRIMED FENCE BOARD",L76166,8.75,/each,https://peacocklumber.ca/p/lp-elements-716x53-72-performance-primed-fence-board/L76166,/public/images/noImageForProduct.png
Construction Lumber,"8X8-16'(7 1/2""SQ.)PRESSURE TREATED",LMP8816,233.35,/piece,https://peacocklumber.ca/p/8x8-167-12sqpressure-treated/LMP8816,/public/images/noImageForProduct.png
Construction Lumber,5X5-10' PRESSURE TREATED-SECONDS,CULLLMP5510,18.95,/piece,https://peacocklumber.ca/p/5x5-10-pressure-treated-seconds/CULLLMP5510,/public/images/noImageForProduct.png
Construction Lumber,2X4X8 PRESSURE TREATED-SECONDS,CULLLMP248,3.75,/piece,https://peacocklumber.ca/p/2x4x8-pressure-treated-seconds/CULLLMP248,/public/images/noImageForProduct.png
Construction Lumber,2X4X12 PRESSURE TREATED-SECONDS,CULLLMP2412,5.85,/piece,https://peacocklumber.ca/p/2x4x12-pressure-treated-seconds/CULLLMP2412,/public/images/noImageForProduct.png
