category,sku,name,unit,price,url,image,scraped_time
Pressure Treated Lumber,21014PT,"Pressure Treated, Brown, 2"" x 10"" x 14 ft",Each,$43.76,https://www.coppsbuildall.com/shop/21014PT/pressure-treated-brown-2-x-10-x-14-ft/,https://www.coppsbuildall.com/img/products/2709-sm.jpg,
Pressure Treated Lumber,21016PT,"Pressure Treated, Brown, 2"" x 10"" x 16 ft",Each,$50.02,https://www.coppsbuildall.com/shop/21016PT/pressure-treated-brown-2-x-10-x-16-ft/,https://www.coppsbuildall.com/img/products/2713-sm.jpg,
Pressure Treated Lumber,2128PT,"Pressure Treated, Brown, 2"" x 12"" x 8 ft",Each,$34.46,https://www.coppsbuildall.com/shop/2128PT/pressure-treated-brown-2-x-12-x-8-ft/,https://www.coppsbuildall.com/img/products/2780-sm.jpg,
Pressure Treated Lumber,21210PT,"Pressure Treated, Brown, 2"" x 12"" x 10 ft",Each,$43.07,https://www.coppsbuildall.com/shop/21210PT/pressure-treated-brown-2-x-12-x-10-ft/,https://www.coppsbuildall.com/img/products/2755-sm.jpg,
Pressure Treated Lumber,21212PT,"Pressure Treated, Brown, 2"" x 12"" x 12 ft",Each,$51.69,https://www.coppsbuildall.com/shop/21212PT/pressure-treated-brown-2-x-12-x-12-ft/,https://www.coppsbuildall.com/img/products/2760-sm.jpg,
Pressure Treated Lumber,21214PT,"Pressure Treated, Brown, 2"" x 12"" x 14 ft",Each,$60.29,https://www.coppsbuildall.com/shop/21214PT/pressure-treated-brown-2-x-12-x-14-ft/,https://www.coppsbuildall.com/img/products/2764-sm.jpg,
Pressure Treated Lumber,21216PT,"Pressure Treated, Brown, 2"" x 12"" x 16 ft",Each,$68.91,https://www.coppsbuildall.com/shop/21216PT/pressure-treated-brown-2-x-12-x-16-ft/,https://www.coppsbuildall.com/img/products/2769-sm.jpg,
Pressure Treated Lumber,35TIEB,"Pressure Treated, Brown, Mini Tie, ( 3"" x 4-1/4"" x 8 ft )",Each,$11.09,https://www.coppsbuildall.com/shop/35TIEB/pressure-treated-brown-mini-tie-3-x-4-1-4-x-8-ft-/,https://www.coppsbuildall.com/img/default-img.png,
Pressure Treated Lumber,448PT,"Pressure Treated, Brown, 4"" x 4"" x 8 ft",Each,$17.27,https://www.coppsbuildall.com/shop/448PT/pressure-treated-brown-4-x-4-x-8-ft/,https://www.coppsbuildall.com/img/products/5773-sm.jpg,
Pressure Treated Lumber,4410PT,"Pressure Treated, Brown, 4"" x 4"" x 10 ft",Each,$21.17,https://www.coppsbuildall.com/shop/4410PT/pressure-treated-brown-4-x-4-x-10-ft/,https://www.coppsbuildall.com/img/products/5734-sm.jpg,
Pressure Treated Lumber,4412PT,"Pressure Treated, Brown, 4"" x 4"" x 12 ft",Each,$25.90,https://www.coppsbuildall.com/shop/4412PT/pressure-treated-brown-4-x-4-x-12-ft/,https://www.coppsbuildall.com/img/products/5738-sm.jpg,
Pressure Treated Lumber,4414PT,"Pressure Treated, Brown, 4"" x 4"" x 14 ft",Each,$32.11,https://www.coppsbuildall.com/shop/4414PT/pressure-treated-brown-4-x-4-x-14-ft/,https://www.coppsbuildall.com/img/products/5742-sm.jpg,
Pressure Treated Lumber,4416PT,"Pressure Treated, Brown, 4"" x 4"" x 16 ft",Each,$37.81,https://www.coppsbuildall.com/shop/4416PT/pressure-treated-brown-4-x-4-x-16-ft/,https://www.coppsbuildall.com/img/products/5744-sm.jpg,
Pressure Treated Lumber,5510PT,"Pressure Treated, Brown, 5"" x 5"" x 10 ft",Each,$35.29,https://www.coppsbuildall.com/shop/5510PT/pressure-treated-brown-5-x-5-x-10-ft/,https://www.coppsbuildall.com/img/products/6460-sm.jpg,
Pressure Treated Lumber,5512PT,"Pressure Treated, Brown, 5"" x 5"" x 12 ft",Each,$46.25,https://www.coppsbuildall.com/shop/5512PT/pressure-treated-brown-5-x-5-x-12-ft/,https://www.coppsbuildall.com/img/products/6463-sm.jpg,
Pressure Treated Lumber,668PT,"Pressure Treated, Brown, 6"" x 6"" x 8 ft",Each,$44.00,https://www.coppsbuildall.com/shop/668PT/pressure-treated-brown-6-x-6-x-8-ft/,https://www.coppsbuildall.com/img/products/6908-sm.jpg,
Pressure Treated Lumber,6610PT,"Pressure Treated, Brown, 6"" x 6"" x 10 ft",Each,$55.00,https://www.coppsbuildall.com/shop/6610PT/pressure-treated-brown-6-x-6-x-10-ft/,https://www.coppsbuildall.com/img/products/6890-sm.jpg,
Pressure Treated Lumber,6612PT,"Pressure Treated, Brown, 6"" x 6"" x 12 ft",Each,$66.00,https://www.coppsbuildall.com/shop/6612PT/pressure-treated-brown-6-x-6-x-12-ft/,https://www.coppsbuildall.com/img/products/6893-sm.jpg,
Pressure Treated Lumber,6614PT,"Pressure Treated, Brown, 6"" x 6"" x 14 ft",Each,$78.97,https://www.coppsbuildall.com/shop/6614PT/pressure-treated-brown-6-x-6-x-14-ft/,https://www.coppsbuildall.com/img/products/6894-sm.jpg,
Pressure Treated Lumber,6616PT,"Pressure Treated, Brown, 6"" x 6"" x 16 ft",Each,$88.00,https://www.coppsbuildall.com/shop/6616PT/pressure-treated-brown-6-x-6-x-16-ft/,https://www.coppsbuildall.com/img/products/6896-sm.jpg,
Pressure Treated Lumber,6620PT,"Pressure Treated, Brown, 6"" x 6"" x 20 ft",Each,$198.00,https://www.coppsbuildall.com/shop/6620PT/pressure-treated-brown-6-x-6-x-20-ft/,https://www.coppsbuildall.com/img/products/6897-sm.jpg,
Pressure Treated Lumber,6624PT,"Pressure Treated, Brown, 6"" x 6"" x 24 ft",Each,$289.00,https://www.coppsbuildall.com/shop/6624PT/pressure-treated-brown-6-x-6-x-24-ft/,https://www.coppsbuildall.com/img/products/38533-sm.jpg,
Pressure Treated Lumber,PTBAL36,"Baluster, Pressure Treated, Brown, Bevelled, 36"" (1-7/16"" x 1-7/16"" x 3 ft)",Each,$2.61,https://www.coppsbuildall.com/shop/PTBAL36/baluster-pressure-treated-brown-bevelled-36-1-7-16-x-1-7-16-x-3-ft/,https://www.coppsbuildall.com/img/products/13536-sm.jpg,
Pressure Treated Lumber,PTBAL42,"Baluster, Pressure Treated, Brown, Bevelled, 42"" (1-7/16"" x 1-7/16"" x 3-1/2 ft)",Each,$2.61,https://www.coppsbuildall.com/shop/PTBAL42/baluster-pressure-treated-brown-bevelled-42-1-7-16-x-1-7-16-x-3-1-2-ft/,https://www.coppsbuildall.com/img/products/13538-sm.jpg,
Pressure Treated Lumber,PTBAL48,"Baluster, Pressure Treated, Brown, Bevelled, 48"" (1-7/16"" x 1-7/16"" x 4 ft)",Each,$2.98,https://www.coppsbuildall.com/shop/PTBAL48/baluster-pressure-treated-brown-bevelled-48-1-7-16-x-1-7-16-x-4-ft/,https://www.coppsbuildall.com/img/products/13540-sm.jpg,
