category,name,sku,price,unit,url,image,scraped_time
Lumber,"8'x3/4"" Privacy Square Cedar Lattice - Custom Order",CL1834PSQ,65,/each,https://shop.newcanadianslumber.com/p/8x34-privacy-square-cedar-lattice-custom-order/CL1834PSQ,https://ik.imagekit.io/toolbx/p_1666902991290_a10a0417-2c46-47c9-8826-5896e3dae51b_CL1834PSQ.jpg,
Lumber,2x12x24' Select Fir,S21224,149.89,/each,https://shop.newcanadianslumber.com/p/2x12x24-select-fir/S21224,https://ik.imagekit.io/toolbx/ecommerce/NCL/S21224.jpeg,
Lumber,Roseburg Floor Joist 80S 9-1/2x18',FJ80S91218,83.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-80s-9-12x18/FJ80S91218,https://ik.imagekit.io/toolbx/i_joist.jpg,
Lumber,"4x8x3/4"" PT Square Lattice - Custom Order",PL4834S,105,/each,https://shop.newcanadianslumber.com/p/4x8x34-pt-square-lattice-custom-order/PL4834S,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL4834S.jpg,
Lumber,2x10x8' Premium SPF,S2108,18.69,/each,https://shop.newcanadianslumber.com/p/2x10x8-premium-spf/S2108,https://ik.imagekit.io/toolbx/src-img/106968349651,
Lumber,1x8x8' Poplar Lumber,POP188,42.08,/each,https://shop.newcanadianslumber.com/p/1x8x8-poplar-lumber/POP188,https://ik.imagekit.io/toolbx/p_1657819563217_fe1b8157-da8e-4728-953e-e42cd4231c9a.jpg,
Lumber,2x12x10' Premium SPF,S21210,37.98,/each,https://shop.newcanadianslumber.com/p/2x12x10-premium-spf/S21210,https://ik.imagekit.io/toolbx/src-img/106968349651,
Lumber,1x4x10' SPF,S1410,4.99,/each,https://shop.newcanadianslumber.com/p/1x4x10-spf/S1410,https://ik.imagekit.io/toolbx/p_1606680820611_059b38fd-6ea5-4721-877d-f64527382481.jpg,
Lumber,Roseburg Floor Joist 40S 11-7/8x20',FJ40S117820,76.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-40s-11-78x20/FJ40S117820,https://ik.imagekit.io/toolbx/i_joist.jpg,
Lumber,6x6x16' PT,PT6616,90.59,/each,https://shop.newcanadianslumber.com/p/6x6x16-pt/PT6616,https://ik.imagekit.io/toolbx/src-img/199514432099,
Lumber,2x6x14' PT,PT2614,24.29,/each,https://shop.newcanadianslumber.com/p/2x6x14-pt/PT2614,https://ik.imagekit.io/toolbx/p_1606680262025_84d208d7-6a0b-4c7e-a0d2-ccd4852e08b1.jpg,
Lumber,"1x8x3/4"" Square Cedar Lattice - Custom Order",CL1834S,55,/each,https://shop.newcanadianslumber.com/p/1x8x34-square-cedar-lattice-custom-order/CL1834S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL1834S.jpg,
Lumber,1x6x14' Poplar Lumber,POP1614,61.96,/each,https://shop.newcanadianslumber.com/p/1x6x14-poplar-lumber/POP1614,https://ik.imagekit.io/toolbx/p_1657819556175_a237ed9c-fc4a-4940-bcfe-69452cb06e22.jpg,
Lumber,1x6x8' Clear Pine,CP168,23.12,/each,https://shop.newcanadianslumber.com/p/1x6x8-clear-pine/CP168,https://ik.imagekit.io/toolbx/p_1606679795042_f5dc2147-d489-488c-bb93-222c67fa45f0.jpg,
Lumber,Roseburg Floor Joist 80S 11-7/8x14',FJ80S117814,70.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-80s-11-78x14/FJ80S117814,https://ik.imagekit.io/toolbx/i_joist.jpg,
Lumber,1x6x14' Pine #1,P1614,27.97,/each,https://shop.newcanadianslumber.com/p/1x6x14-pine-1/P1614,https://ik.imagekit.io/toolbx/p_1657819532458_949b6982-7f6d-4fa1-a3b7-6003e11545f1.jpg,
Lumber,1x5x8' Oak Lumber,O158,38.5,/each,https://shop.newcanadianslumber.com/p/1x5x8-oak-lumber/O158,https://ik.imagekit.io/toolbx/ecommerce/NCL/O158.jpeg,
Lumber,2x6x14' Premium SPF,S2614,16.29,/each,https://shop.newcanadianslumber.com/p/2x6x14-premium-spf/S2614,https://ik.imagekit.io/toolbx/src-img/131382506884,
Lumber,1x8x6' Clear Pine,CP186,20.4,/each,https://shop.newcanadianslumber.com/p/1x8x6-clear-pine/CP186,https://ik.imagekit.io/toolbx/p_1657819520281_35565cb1-151f-4775-992a-2e3a0d7a999a.jpg,
Lumber,"1x6"" T&G Clear Cedar (sold by LF)",C16TG,8.29,/each,https://shop.newcanadianslumber.com/p/1x6-tg-clear-cedar-sold-by-lf/C16TG,https://ik.imagekit.io/toolbx/p_1666898877296_9b9116af-da79-49d0-800c-f57a56a4df23_C16TG.jpg,
Lumber,LVL Beam 7-1/4 x 24',LVL71424,133.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-7-14-x-24/LVL71424,https://ik.imagekit.io/toolbx/p_1726126923686_bc05117d-c0fd-4ee8-9d35-2a4886077946_LVL71424.jpg,
Lumber,"Pine 1"" cove Moulding",COV-103,2.27,/each,https://shop.newcanadianslumber.com/p/pine-1-cove-moulding/COV-103,https://ik.imagekit.io/toolbx/1749671680238,
Lumber,2x6x12' Construction Cedar,C2612,56.79,/each,https://shop.newcanadianslumber.com/p/2x6x12-construction-cedar/C2612,https://ik.imagekit.io/toolbx/1742386723178,
Lumber,Pine 3-1/4 Crown Moulding,CRO-302,4.22,/each,https://shop.newcanadianslumber.com/p/pine-3-14-crown-moulding/CRO-302,https://ik.imagekit.io/toolbx/1749671951241,
Lumber,1x6x12' PT,PT1612,11.7,/each,https://shop.newcanadianslumber.com/p/1x6x12-pt/PT1612,https://ik.imagekit.io/toolbx/p_1606681187994_7d6c398a-ed30-43c7-a354-0f9659615643.jpg,
Lumber,2x8x14' Premium SPF,S2814,25.79,/each,https://shop.newcanadianslumber.com/p/2x8x14-premium-spf/S2814,https://ik.imagekit.io/toolbx/1571322239686,
Lumber,1x6x16' Finger-Jointed Pine,FJ1616,34.99,/each,https://shop.newcanadianslumber.com/p/1x6x16-finger-jointed-pine/FJ1616,https://ik.imagekit.io/toolbx/ecommerce/NCL/FJ1616.jpeg,
