complete,url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate
,https://www.myschool.edu.au/school/45066,45066,Kismet Park Primary School,Government,Primary,"Sunbury, VIC",427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41917,41917,Kitchener Public School,Government,Primary,"Kitchener, NSW",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49501,49501,Klemzig Primary School,Government,Primary,"Klemzig, SA",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/52899,52899,Kluthuthu Christian College,Non-government,Primary,"Napranum, QLD",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45219,45219,Knox Central Primary School,Government,Primary,"Boronia, VIC",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45101,45101,Knox Gardens Primary School,Government,Primary,"Wantirna South, VIC",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40367,40367,Knox Grammar School,Non-government,Combined,"Wahroonga, NSW",3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44954,44954,Knox Park Primary School,Government,Primary,"Knoxfield, VIC",315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47013,47013,Kogan State School,Government,Primary,"Kogan, QLD",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41168,41168,Kogarah High School,Government,Secondary,"Kogarah, NSW",809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
