url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate,attendance_status,status,scrape_time,Column1,_1,_2,_3,_4,_5
https://www.myschool.edu.au/school/42245,42245,Lansdowne Public School,Government,Primary,"Lansdowne, NSW",38,K-6,Inner Regional,https://lansdowne-p.schools.nsw.gov.au,2024,874,7,77,15,7,1,2024,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,508,#ededed,N/A,#ededed,493,#ededed,495,#ededed,N/A,#ededed,,,,,,,,,,,,,,,,,,,,,100,2024,88,56,,OK,13.08,,,,,,
https://www.myschool.edu.au/school/41480,41480,Lansvale East Public School,Government,Primary,"Cabramatta, NSW",130,K-6,Major Cities,https://lansvalee-p.schools.nsw.gov.au,2024,955,26,57,28,12,3,2024,337,#f26469,392,#fccccc,390,#ffffff,387,#fccccc,348,#f26469,452,#fccccc,482,#ffffff,504,#b6f9cc,468,#fccccc,433,#f26469,,,,,,,,,,,,,,,,,,,,,97,2024,90,65,,OK,18.18,,,,,,
https://www.myschool.edu.au/school/41530,41530,Lansvale Public School,Government,Primary,"Canley Vale, NSW",579,P-6,Major Cities,https://lansvale-p.schools.nsw.gov.au,2024,965,31,50,28,15,6,2024,390,#ffffff,420,#ffffff,400,#ffffff,390,#ffffff,390,#ffffff,467,#fccccc,482,#ffffff,481,#ffffff,484,#ffffff,465,#fccccc,,,,,,,,,,,,,,,,,,,,,99,2024,92,71,,OK,12.57,,,,,,
https://www.myschool.edu.au/school/49946,49946,Lanyon High School,Government,Secondary,"Conder, ACT",491,7-1,Major Cities,http://www.lanyonhs.act.edu.au/,2024,1011,52,30,33,24,13,2024,,,,,,,,,,,,,,,,,,,,,482,#f26469,492,#f26469,484,#f26469,476,#f26469,490,#f26469,542,#ededed,528,#ededed,545,#ededed,511,#ededed,529,#ededed,89,2024,81,37,,OK,19.86,,,,,,
https://www.myschool.edu.au/school/41736,41736,Lapstone Public School,Government,Primary,"Glenbrook, NSW",168,K-6,Major Cities,https://lapstone-p.schools.nsw.gov.au,2024,1089,81,8,22,33,38,2024,457,#52cead,455,#52cead,439,#b6f9cc,481,#52cead,438,#b6f9cc,548,#52cead,496,#ffffff,495,#ffffff,522,#b6f9cc,504,#ffffff,,,,,,,,,,,,,,,,,,,,,100,2024,92,68,OK,OK,20.22,,,,,,
https://www.myschool.edu.au/school/44138,44138,Lara Lake Primary School,Government,Primary,"Lara Lake, VIC",812,Prep-6,Major Cities,http://www.laralake.vic.edu.au,2024,1018,55,28,34,26,12,2024,422,#ffffff,413,#ffffff,406,#ffffff,422,#ffffff,414,#ffffff,505,#ffffff,483,#ffffff,467,#fccccc,486,#ffffff,491,#ffffff,,,,,,,,,,,,,,,,,,,,,94,2024,89,56,,OK,17.64,,,,,,
https://www.myschool.edu.au/school/44889,44889,Lara Primary School,Government,Primary,"Lara, VIC",455,Prep-6,Major Cities,http://www.laraps.vic.edu.au,2024,994,44,36,32,23,9,2024,359,#fccccc,374,#f26469,346,#f26469,358,#f26469,390,#ffffff,470,#fccccc,461,#fccccc,441,#f26469,451,#f26469,463,#fccccc,,,,,,,,,,,,,,,,,,,,,98,2024,90,60,,OK,16.59,,,,,,
https://www.myschool.edu.au/school/45574,45574,Lara Secondary College,Government,Secondary,"Lara, VIC",630,7-12,Major Cities,http://www.larasc.vic.edu.au,2024,970,33,48,32,15,5,2024,,,,,,,,,,,,,,,,,,,,,512,#fccccc,499,#fccccc,500,#f26469,508,#fccccc,503,#fccccc,527,#fccccc,549,#ededed,530,#ededed,508,#ededed,531,#fccccc,93,2024,81,34,OK,OK,16.68,,,,,,
https://www.myschool.edu.au/school/50096,50096,Laramba School,Government,Combined,"Laramba, NT",39,T-12,Very Remote,http://www.teaching.nt.gov.au/remote_schools/laramba.html,2024,593,0,94,3,2,1,2024,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,307,#ededed,N/A,#ededed,279,#ededed,N/A,#ededed,294,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,88,2024,49,3,,OK,11.66,,,,,,
https://www.myschool.edu.au/school/50029,50029,Larapinta Primary School,Government,Primary,"Alice Springs, NT",247,T-6,Remote,http://www.larapintaprimary.nt.edu.au,2024,890,9,47,25,19,9,2024,350,#f26469,370,#f26469,330,#f26469,326,#f26469,347,#f26469,474,#fccccc,450,#fccccc,468,#fccccc,460,#fccccc,425,#f26469,,,,,,,,,,,,,,,,,,,,,97,2024,86,60,,OK,18.58,,,,,,
https://www.myschool.edu.au/school/45194,45194,Lardner and District Primary School,Government,Primary,"Lardner, VIC",76,Prep-6,Inner Regional,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=e4ccb812-ed32-de11-9c94-002185cd8e5c,2024,1029,60,30,30,21,19,2024,387,#ededed,369,#ededed,355,#ededed,390,#ededed,389,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,,,,,,,,,,,,,,,,,,,,,81,2024,90,67,,OK,15.34,,,,,,
https://www.myschool.edu.au/school/49209,49209,Largs Bay School,Government,Primary,"Largs Bay, SA",423,R-6,Major Cities,http://www.largsbayr7.sa.edu.au,2024,1024,58,22,35,27,17,2024,401,#ffffff,428,#ffffff,419,#b6f9cc,422,#ffffff,400,#ffffff,482,#ffffff,476,#ffffff,486,#ffffff,479,#fccccc,475,#ffffff,,,,,,,,,,,,,,,,,,,,,97,2024,91,68,,OK,16.74,,,,,,
