sep=;
"ID";"title";"ad_link";"category";"date";"price";"delete";"details";"images"
"32059994";"Alquiler Coco del Mar | PH Victory Sport Vista al Mar – $2,450";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-coco-del-mar-ph-victory-sport-vista-al-mar-2-450/32059994";"Coco del Mar";"Publicado el 02/03/2026";"B/. 2,450";"False";"False";"False"
"32060001";"Alquiler Costa del Este | PH Costa View 3R + C/B/E – $1,600";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-del-este-ph-costa-view-3r-c-b-e-1-600/32060001";"Costa del Este";"Publicado el 02/03/2026";"B/. 1,600";"False";"False";"False"
"32060015";"PH NUOVO by ARMANI: 105m² Amoblado | 2 Rec + Den | $2,000";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/ph-nuovo-by-armani-105m-amoblado-2-rec-den-2-000/32060015";"Costa del Este";"Publicado el 02/03/2026";"B/. 2,000";"False";"False";"False"
"32060698";"Alquiler Coco del Mar | PH Victory Sport Vista al Mar – $3,500";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-coco-del-mar-ph-victory-sport-vista-al-mar-3-500/32060698";"Coco del Mar";"Publicado el 02/03/2026";"B/. 3,500";"False";"False";"False"
"32060249";"Alquiler Av Balboa | PH Element Amoblado con Jacuzzi – $1,400";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-av-balboa-ph-element-amoblado-con-jacuzzi-1-400/32060249";"Avenida Balboa";"Publicado el 02/03/2026";"B/. 1,400";"False";"False";"False"
"32060529";"Alquiler Avenida Balboa | PH Vista del Mar 1 Rec Amoblado – $1,300";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-avenida-balboa-ph-vista-del-mar-1-rec-amoblado-1-300/32060529";"Avenida Balboa";"Publicado el 02/03/2026";"B/. 1,300";"False";"False";"False"
"32056179";"Alquiler";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler/32056179";"Costa del Este";"Publicado el 01/03/2026";"B/. 2,000";"False";"False";"False"
"32056154";"Alquiler";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler/32056154";"Punta Pacífica";"Publicado el 01/03/2026";"B/. 2,800";"False";"False";"False"
"32056159";"Alquiler Apto Amoblado en PH Nuovo by Armani/Casa | $2,100";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-apto-amoblado-en-ph-nuovo-by-armani-casa-2-100/32056159";"Bella Vista";"Publicado el 01/03/2026";"B/. 2,100";"False";"False";"False"
"32056177";"Alquiler";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler/32056177";"Punta Pacífica";"Publicado el 01/03/2026";"B/. 2,400";"False";"False";"False"
"32056185";"Alquiler Apto Semi Amoblado en PH Sunrise | Obarrio – $1,550";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-apto-semi-amoblado-en-ph-sunrise-obarrio-1-550/32056185";"Obarrio";"Publicado el 01/03/2026";"B/. 1,550";"False";"False";"False"
"32056188";"Alquiler Punta Pacífica | PH Costa Pacífica Amoblado – $2,100";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-punta-pacifica-ph-costa-pacifica-amoblado-2-100/32056188";"Punta Pacífica";"Publicado el 01/03/2026";"B/. 2,100";"False";"False";"False"
"32056193";"Alquiler Pta. Pacífica | PH Pacific Sun Vista a la Ciudad – $1,300";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-pta-pacifica-ph-pacific-sun-vista-a-la-ciudad-1-300/32056193";"Punta Pacífica";"Publicado el 01/03/2026";"B/. 1,300";"False";"False";"False"
"32056198";"Alquiler Bella Vista | PH Nuovo by Armani/Casa – 2 Rec – $1,850";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-bella-vista-ph-nuovo-by-armani-casa-2-rec-1-850/32056198";"Bella Vista";"Publicado el 01/03/2026";"B/. 1,850";"False";"False";"False"
"32056364";"Alquiler Costa del Este | PH Sevilla, Línea Blanca – $1,900";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-del-este-ph-sevilla-linea-blanca-1-900/32056364";"Costa del Este";"Publicado el 01/03/2026";"B/. 1,900";"False";"False";"False"
"32056366";"Alquiler Piso Alto Amoblado | JW Marriott, Antigua Torre Trump – $2,500";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-piso-alto-amoblado-jw-marriott-antigua-torre-trump-2-500/32056366";"Costa del Este";"Publicado el 01/03/2026";"B/. 2,500";"False";"False";"False"
"32056371";"Alquiler Santa María | Santa María Village  – $2,500";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-santa-maria-santa-maria-village-2-500/32056371";"Santa María";"Publicado el 01/03/2026";"B/. 2,500";"False";"False";"False"
"32056409";"Alquiler Santa María | Ocean House Línea Blanca – $1,700";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-santa-maria-ocean-house-linea-blanca-1-700/32056409";"Santa María";"Publicado el 01/03/2026";"B/. 1,700";"False";"False";"False"
"32056372";"Alquiler Punta Paitilla | 1 Rec Semiamoblado – $950";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-punta-paitilla-1-rec-semiamoblado-950/32056372";"Punta Paitilla";"Publicado el 01/03/2026";"B/. 950";"False";"False";"False"
