vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
New Canadians Lumber,Lumber,Pine 5-1/4 Crown Moulding,CRO-500,False,$6.18,/each,https://shop.newcanadianslumber.com/p/pine-5-14-crown-moulding/CRO-500,https://ik.imagekit.io/toolbx/1749732354030,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x12x6' Clear Pine,CP1126,False,$31.06,/each,https://shop.newcanadianslumber.com/p/1x12x6-clear-pine/CP1126,https://ik.imagekit.io/toolbx/p_1657819510259_93775cba-9d7c-47e8-9f19-24550a1d74c9.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x16' SPF,S1816,False,$13.99,/each,https://shop.newcanadianslumber.com/p/1x8x16-spf/S1816,https://ik.imagekit.io/toolbx/p_1685592021294_fbe36865-97c6-44e1-94c4-c7d917231657_S1816..jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x12x8' Clear Pine,CP1128,False,$41.41,/each,https://shop.newcanadianslumber.com/p/1x12x8-clear-pine/CP1128,https://ik.imagekit.io/toolbx/p_1657819510747_376c921a-f87a-4ea7-ad39-e51bd08b8a87.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x10x16' Pine #1,P11016,False,$47.60,/each,https://shop.newcanadianslumber.com/p/1x10x16-pine-1/P11016,https://ik.imagekit.io/toolbx/p_1657819524429_88ae4dfa-8d16-45e9-a7c2-0912ffe96fc9.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x10x18' Premium SPF,S21018,False,$47.89,/each,https://shop.newcanadianslumber.com/p/2x10x18-premium-spf/S21018,https://ik.imagekit.io/toolbx/src-img/106968349651,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"1x8x1"" PT Square Lattice - Custom Order",PL181S,False,$47.00,/each,https://shop.newcanadianslumber.com/p/1x8x1-pt-square-lattice-custom-order/PL181S,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL181S.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x4x8' SPF,S148,False,$3.85,/each,https://shop.newcanadianslumber.com/p/1x4x8-spf/S148,https://ik.imagekit.io/toolbx/src-img/133141037091,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x6x8' Premium Cedar,C168,False,$14.95,/each,https://shop.newcanadianslumber.com/p/1x6x8-premium-cedar/C168,https://ik.imagekit.io/toolbx/p_1606679992058_acf51075-ea33-4b8f-a8f0-e06bf94b0b43.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x8x8' PT,PT288,False,$18.99,/each,https://shop.newcanadianslumber.com/p/2x8x8-pt/PT288,https://ik.imagekit.io/toolbx/src-img/183919647052,,,,,,,,,,,,,,,
